timestamp,agent.name,rule.description,rule.level,rule.id
"May 16, 2026 @ 15:54:19.921",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:53:37.894",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:53:37.893",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:53:35.893",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:53:35.893",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:53:35.893",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:53:29.892",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:53:29.892",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:53:29.892",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:53:25.889",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:53:25.889",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:53:25.889",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:48:59.722",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:48:59.722",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:48:59.722",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:48:45.715",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:48:45.715",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:48:45.715",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:48:34.719",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 15:48:29.712",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:43:59.513",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:43:59.513",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:43:59.513",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:43:49.512",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:43:49.512",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:43:49.512",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:43:44.519",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 15:43:39.509",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:42:54.523",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:42:50.520",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:42:50.520",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:37:39.334",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 15:37:34.322",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:37:34.322",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:37:34.322",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:37:34.322",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:37:34.322",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:37:34.322",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:37:34.322",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:37:01.399",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 15:36:56.391",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:36:38.538",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:36:38.538",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:32:50.391",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:32:50.391",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:32:50.391",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:31:19.349",wazuh-server,Wazuh server started.,3,502
